Compliance	Volume Fraction	Max Stress	Stress Integral 4	Stress Integral 12	Stress Integral 40
2.820e-07	0.2000	2.120e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.121e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.121e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.121e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.121e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.121e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.121e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.121e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.121e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.121e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.120e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.120e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.120e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.120e+02	4.749e+01	1.166e+02	1.746e+02
2.820e-07	0.2000	2.120e+02	4.749e+01	1.166e+02	1.746e+02
2.328e-07	0.1987	2.083e+02	4.823e+01	1.162e+02	1.718e+02
2.321e-07	0.2005	2.080e+02	4.816e+01	1.160e+02	1.716e+02
2.326e-07	0.2003	2.081e+02	4.817e+01	1.161e+02	1.716e+02
2.332e-07	0.2000	2.074e+02	4.807e+01	1.157e+02	1.710e+02
2.310e-07	0.2000	2.064e+02	4.799e+01	1.153e+02	1.702e+02
2.276e-07	0.1999	2.053e+02	4.794e+01	1.149e+02	1.694e+02
2.265e-07	0.1999	2.048e+02	4.791e+01	1.147e+02	1.689e+02
2.259e-07	0.1999	2.048e+02	4.792e+01	1.147e+02	1.689e+02
2.258e-07	0.1998	2.050e+02	4.795e+01	1.148e+02	1.691e+02
2.254e-07	0.1998	2.048e+02	4.796e+01	1.148e+02	1.690e+02
2.256e-07	0.1997	2.039e+02	4.791e+01	1.144e+02	1.682e+02
2.256e-07	0.1997	2.039e+02	4.791e+01	1.144e+02	1.682e+02
2.256e-07	0.1998	2.039e+02	4.791e+01	1.144e+02	1.682e+02
2.256e-07	0.1998	2.039e+02	4.791e+01	1.144e+02	1.682e+02
2.254e-07	0.1998	2.043e+02	4.794e+01	1.145e+02	1.686e+02
2.254e-07	0.1998	2.046e+02	4.795e+01	1.146e+02	1.688e+02
2.247e-07	0.1998	2.045e+02	4.795e+01	1.146e+02	1.687e+02
2.244e-07	0.1999	2.044e+02	4.795e+01	1.146e+02	1.686e+02
2.244e-07	0.1999	2.044e+02	4.795e+01	1.146e+02	1.686e+02
2.242e-07	0.1999	2.045e+02	4.796e+01	1.146e+02	1.687e+02
2.241e-07	0.1999	2.045e+02	4.796e+01	1.146e+02	1.687e+02
2.239e-07	0.2000	2.046e+02	4.797e+01	1.146e+02	1.688e+02
2.239e-07	0.2000	2.046e+02	4.797e+01	1.146e+02	1.688e+02
2.239e-07	0.2000	2.047e+02	4.797e+01	1.147e+02	1.689e+02
2.238e-07	0.2000	2.047e+02	4.797e+01	1.147e+02	1.688e+02
2.238e-07	0.2000	2.047e+02	4.797e+01	1.147e+02	1.688e+02
2.238e-07	0.2000	2.048e+02	4.798e+01	1.147e+02	1.689e+02
2.238e-07	0.2000	2.048e+02	4.798e+01	1.147e+02	1.690e+02
2.238e-07	0.2000	2.048e+02	4.798e+01	1.147e+02	1.690e+02
2.238e-07	0.2000	2.055e+02	4.805e+01	1.151e+02	1.695e+02
2.238e-07	0.2000	2.057e+02	4.806e+01	1.151e+02	1.697e+02
2.238e-07	0.2000	2.051e+02	4.801e+01	1.149e+02	1.692e+02
2.239e-07	0.2000	2.048e+02	4.798e+01	1.147e+02	1.689e+02
2.239e-07	0.2000	2.048e+02	4.798e+01	1.147e+02	1.689e+02
2.238e-07	0.2000	2.052e+02	4.801e+01	1.149e+02	1.692e+02
2.238e-07	0.2000	2.052e+02	4.802e+01	1.149e+02	1.693e+02
2.238e-07	0.2000	2.052e+02	4.802e+01	1.149e+02	1.693e+02
2.238e-07	0.2000	2.052e+02	4.802e+01	1.149e+02	1.693e+02
2.238e-07	0.2000	2.052e+02	4.802e+01	1.149e+02	1.693e+02
2.238e-07	0.2000	2.053e+02	4.802e+01	1.149e+02	1.693e+02
2.238e-07	0.2000	2.053e+02	4.802e+01	1.149e+02	1.693e+02
2.238e-07	0.2000	2.053e+02	4.802e+01	1.149e+02	1.693e+02
2.238e-07	0.2000	2.053e+02	4.802e+01	1.149e+02	1.693e+02
2.238e-07	0.2000	2.053e+02	4.802e+01	1.149e+02	1.693e+02
2.238e-07	0.2000	2.052e+02	4.802e+01	1.149e+02	1.693e+02
2.238e-07	0.2000	2.052e+02	4.802e+01	1.149e+02	1.693e+02
2.238e-07	0.2000	2.052e+02	4.802e+01	1.149e+02	1.693e+02
2.238e-07	0.2000	2.052e+02	4.802e+01	1.149e+02	1.693e+02
2.238e-07	0.2000	2.052e+02	4.802e+01	1.149e+02	1.693e+02
2.238e-07	0.2000	2.052e+02	4.802e+01	1.149e+02	1.693e+02
2.238e-07	0.2000	2.052e+02	4.802e+01	1.149e+02	1.693e+02
2.238e-07	0.2000	2.052e+02	4.802e+01	1.149e+02	1.693e+02
2.238e-07	0.2000	2.052e+02	4.802e+01	1.149e+02	1.693e+02
2.238e-07	0.2000	2.052e+02	4.802e+01	1.149e+02	1.693e+02
2.238e-07	0.2000	2.052e+02	4.802e+01	1.149e+02	1.693e+02
2.238e-07	0.2000	2.052e+02	4.802e+01	1.149e+02	1.693e+02
2.238e-07	0.2000	2.052e+02	4.802e+01	1.149e+02	1.693e+02
2.238e-07	0.2000	2.052e+02	4.802e+01	1.149e+02	1.693e+02
2.238e-07	0.2000	2.052e+02	4.802e+01	1.149e+02	1.693e+02
1.737e-07	0.2114	1.989e+02	4.820e+01	1.130e+02	1.654e+02
1.725e-07	0.2121	1.986e+02	4.817e+01	1.129e+02	1.651e+02
1.841e-07	0.2072	1.998e+02	4.835e+01	1.139e+02	1.667e+02
1.899e-07	0.2043	1.996e+02	4.840e+01	1.137e+02	1.662e+02
1.925e-07	0.2024	1.999e+02	4.837e+01	1.137e+02	1.662e+02
2.011e-07	0.1991	1.987e+02	4.828e+01	1.131e+02	1.647e+02
1.965e-07	0.1993	1.968e+02	4.814e+01	1.123e+02	1.634e+02
1.944e-07	0.1995	1.973e+02	4.816e+01	1.126e+02	1.640e+02
1.935e-07	0.1995	1.974e+02	4.815e+01	1.126e+02	1.640e+02
1.928e-07	0.1996	1.970e+02	4.813e+01	1.125e+02	1.638e+02
1.926e-07	0.1996	1.969e+02	4.812e+01	1.124e+02	1.637e+02
1.927e-07	0.1994	1.965e+02	4.809e+01	1.123e+02	1.633e+02
1.927e-07	0.1994	1.965e+02	4.809e+01	1.123e+02	1.633e+02
1.927e-07	0.1994	1.965e+02	4.809e+01	1.123e+02	1.633e+02
1.926e-07	0.1995	1.967e+02	4.810e+01	1.124e+02	1.635e+02
1.923e-07	0.1995	1.962e+02	4.808e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.926e-07	0.1992	1.960e+02	4.805e+01	1.121e+02	1.629e+02
1.925e-07	0.1993	1.959e+02	4.805e+01	1.121e+02	1.629e+02
1.925e-07	0.1993	1.959e+02	4.805e+01	1.121e+02	1.629e+02
1.924e-07	0.1993	1.959e+02	4.805e+01	1.121e+02	1.629e+02
1.924e-07	0.1994	1.961e+02	4.806e+01	1.121e+02	1.630e+02
1.923e-07	0.1994	1.961e+02	4.807e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.926e-07	0.1992	1.962e+02	4.806e+01	1.122e+02	1.630e+02
1.925e-07	0.1992	1.961e+02	4.806e+01	1.122e+02	1.630e+02
1.925e-07	0.1992	1.961e+02	4.806e+01	1.122e+02	1.630e+02
1.924e-07	0.1993	1.962e+02	4.806e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.929e-07	0.1991	1.965e+02	4.807e+01	1.123e+02	1.634e+02
1.929e-07	0.1991	1.965e+02	4.807e+01	1.123e+02	1.633e+02
1.929e-07	0.1991	1.965e+02	4.807e+01	1.123e+02	1.633e+02
1.924e-07	0.1993	1.963e+02	4.807e+01	1.122e+02	1.632e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.632e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.945e-07	0.1986	1.969e+02	4.811e+01	1.125e+02	1.637e+02
1.943e-07	0.1987	1.969e+02	4.810e+01	1.125e+02	1.637e+02
1.943e-07	0.1987	1.969e+02	4.810e+01	1.125e+02	1.637e+02
1.928e-07	0.1992	1.964e+02	4.807e+01	1.123e+02	1.633e+02
1.924e-07	0.1993	1.963e+02	4.807e+01	1.122e+02	1.632e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.923e-07	0.1994	1.962e+02	4.807e+01	1.122e+02	1.631e+02
1.942e-07	0.1987	1.987e+02	4.822e+01	1.132e+02	1.651e+02
1.941e-07	0.1988	1.986e+02	4.822e+01	1.132e+02	1.651e+02
1.941e-07	0.1988	1.986e+02	4.822e+01	1.132e+02	1.651e+02
1.927e-07	0.1992	1.973e+02	4.812e+01	1.126e+02	1.640e+02
1.924e-07	0.1993	1.967e+02	4.809e+01	1.124e+02	1.635e+02
1.923e-07	0.1994	1.964e+02	4.808e+01	1.123e+02	1.633e+02
1.923e-07	0.1994	1.963e+02	4.808e+01	1.122e+02	1.632e+02
1.935e-07	0.1988	1.969e+02	4.811e+01	1.125e+02	1.637e+02
1.934e-07	0.1988	1.969e+02	4.811e+01	1.125e+02	1.637e+02
1.934e-07	0.1989	1.969e+02	4.811e+01	1.125e+02	1.637e+02
1.926e-07	0.1992	1.966e+02	4.808e+01	1.124e+02	1.634e+02
1.924e-07	0.1993	1.964e+02	4.808e+01	1.123e+02	1.633e+02
1.923e-07	0.1994	1.964e+02	4.808e+01	1.123e+02	1.633e+02
1.923e-07	0.1994	1.963e+02	4.808e+01	1.122e+02	1.632e+02
1.923e-07	0.1994	1.963e+02	4.808e+01	1.122e+02	1.632e+02
1.923e-07	0.1994	1.963e+02	4.808e+01	1.122e+02	1.632e+02
1.923e-07	0.1994	1.963e+02	4.808e+01	1.122e+02	1.632e+02
1.923e-07	0.1994	1.963e+02	4.808e+01	1.122e+02	1.632e+02
1.923e-07	0.1994	1.963e+02	4.808e+01	1.122e+02	1.632e+02
1.923e-07	0.1994	1.963e+02	4.808e+01	1.122e+02	1.632e+02
1.945e-07	0.1985	1.966e+02	4.809e+01	1.124e+02	1.634e+02
1.944e-07	0.1986	1.965e+02	4.809e+01	1.124e+02	1.634e+02
1.944e-07	0.1986	1.965e+02	4.809e+01	1.124e+02	1.634e+02
1.927e-07	0.1991	1.963e+02	4.806e+01	1.123e+02	1.633e+02
1.924e-07	0.1993	1.963e+02	4.807e+01	1.122e+02	1.632e+02
1.923e-07	0.1994	1.963e+02	4.807e+01	1.122e+02	1.632e+02
1.923e-07	0.1994	1.963e+02	4.807e+01	1.122e+02	1.632e+02
1.923e-07	0.1994	1.963e+02	4.807e+01	1.122e+02	1.632e+02
1.940e-07	0.1986	1.981e+02	4.816e+01	1.130e+02	1.646e+02
1.940e-07	0.1986	1.981e+02	4.816e+01	1.130e+02	1.646e+02
1.940e-07	0.1986	1.981e+02	4.816e+01	1.130e+02	1.646e+02
1.926e-07	0.1992	1.971e+02	4.810e+01	1.126e+02	1.638e+02
1.923e-07	0.1993	1.967e+02	4.808e+01	1.124e+02	1.635e+02
1.923e-07	0.1994	1.965e+02	4.808e+01	1.123e+02	1.634e+02
1.960e-07	0.1982	1.990e+02	4.824e+01	1.133e+02	1.653e+02
1.959e-07	0.1983	1.989e+02	4.824e+01	1.133e+02	1.653e+02
1.959e-07	0.1983	1.989e+02	4.824e+01	1.133e+02	1.653e+02
1.928e-07	0.1990	1.975e+02	4.813e+01	1.127e+02	1.642e+02
1.923e-07	0.1993	1.970e+02	4.810e+01	1.125e+02	1.638e+02
1.922e-07	0.1993	1.967e+02	4.809e+01	1.124e+02	1.635e+02
1.940e-07	0.1987	1.981e+02	4.816e+01	1.130e+02	1.646e+02
1.940e-07	0.1987	1.981e+02	4.816e+01	1.130e+02	1.646e+02
1.924e-07	0.1992	1.972e+02	4.811e+01	1.126e+02	1.640e+02
1.922e-07	0.1993	1.970e+02	4.809e+01	1.125e+02	1.637e+02
1.928e-07	0.1991	1.982e+02	4.817e+01	1.130e+02	1.648e+02
1.928e-07	0.1991	1.982e+02	4.817e+01	1.130e+02	1.648e+02
1.922e-07	0.1992	1.975e+02	4.813e+01	1.127e+02	1.642e+02
1.934e-07	0.1991	1.992e+02	4.825e+01	1.135e+02	1.656e+02
1.931e-07	0.1992	1.991e+02	4.825e+01	1.135e+02	1.655e+02
1.930e-07	0.1992	1.991e+02	4.825e+01	1.135e+02	1.655e+02
1.930e-07	0.1992	1.991e+02	4.825e+01	1.134e+02	1.655e+02
1.930e-07	0.1992	1.991e+02	4.825e+01	1.134e+02	1.655e+02
1.925e-07	0.1992	1.982e+02	4.818e+01	1.131e+02	1.648e+02
1.923e-07	0.1992	1.978e+02	4.815e+01	1.129e+02	1.645e+02
1.922e-07	0.1992	1.976e+02	4.814e+01	1.128e+02	1.643e+02
1.919e-07	0.1993	1.976e+02	4.814e+01	1.128e+02	1.643e+02
1.918e-07	0.1993	1.975e+02	4.814e+01	1.128e+02	1.642e+02
1.916e-07	0.1994	1.976e+02	4.815e+01	1.128e+02	1.643e+02
1.915e-07	0.1994	1.976e+02	4.815e+01	1.128e+02	1.643e+02
1.910e-07	0.1995	1.976e+02	4.816e+01	1.129e+02	1.644e+02
1.909e-07	0.1996	1.976e+02	4.815e+01	1.128e+02	1.644e+02
1.905e-07	0.1997	1.969e+02	4.811e+01	1.126e+02	1.639e+02
1.904e-07	0.1997	1.969e+02	4.811e+01	1.126e+02	1.639e+02
1.904e-07	0.1998	1.970e+02	4.811e+01	1.126e+02	1.639e+02
1.902e-07	0.1998	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.901e-07	0.1999	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.900e-07	0.1999	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.900e-07	0.1999	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.900e-07	0.1999	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.900e-07	0.1999	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.900e-07	0.1999	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.900e-07	0.1999	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.900e-07	0.1999	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.900e-07	0.1999	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.900e-07	0.1999	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.900e-07	0.1999	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.900e-07	0.1999	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.900e-07	0.1999	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.900e-07	0.1999	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.900e-07	0.1999	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.900e-07	0.1999	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.900e-07	0.1999	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.899e-07	0.1999	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.899e-07	0.2000	1.971e+02	4.813e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
1.898e-07	0.2000	1.971e+02	4.812e+01	1.126e+02	1.640e+02
