Compliance	Volume Fraction	Max Stress
6.946e-07	0.4604	3.940e+02
8.566e-07	0.4428	4.204e+02
2.024e-06	0.4184	6.493e+02
1.048e-05	0.4111	1.957e+03
1.165e-05	0.4096	2.106e+03
1.355e-05	0.4058	2.123e+03
1.327e-05	0.4053	2.134e+03
1.313e-05	0.4049	2.136e+03
1.309e-05	0.4048	2.137e+03
1.292e-05	0.4027	2.144e+03
1.289e-05	0.4021	2.145e+03
1.283e-05	0.3998	2.145e+03
1.283e-05	0.3995	2.145e+03
1.279e-05	0.3955	2.145e+03
1.283e-05	0.3916	2.146e+03
1.284e-05	0.3814	2.146e+03
1.286e-05	0.3798	2.146e+03
1.295e-05	0.3736	2.148e+03
1.314e-05	0.3686	2.149e+03
1.350e-05	0.3690	2.149e+03
1.353e-05	0.3690	2.149e+03
1.401e-05	0.3684	2.146e+03
1.408e-05	0.3683	2.146e+03
1.513e-05	0.3692	2.146e+03
1.607e-05	0.3684	2.146e+03
1.608e-05	0.3683	2.146e+03
1.631e-05	0.3669	2.146e+03
1.631e-05	0.3669	2.146e+03
1.637e-05	0.3660	2.146e+03
1.642e-05	0.3654	2.146e+03
1.649e-05	0.3648	2.147e+03
1.859e-05	0.3636	2.147e+03
1.865e-05	0.3635	2.147e+03
1.865e-05	0.3635	2.147e+03
1.946e-05	0.3613	2.146e+03
1.954e-05	0.3611	2.146e+03
1.961e-05	0.3608	2.146e+03
1.962e-05	0.3607	2.146e+03
1.963e-05	0.3607	2.146e+03
1.992e-05	0.3588	2.146e+03
2.106e-05	0.3544	2.146e+03
2.125e-05	0.3539	2.146e+03
2.141e-05	0.3536	2.146e+03
2.251e-05	0.3539	2.146e+03
2.251e-05	0.3539	2.146e+03
2.249e-05	0.3540	2.146e+03
2.231e-05	0.3541	2.146e+03
2.231e-05	0.3541	2.146e+03
2.250e-05	0.3532	2.146e+03
2.251e-05	0.3531	2.146e+03
2.328e-05	0.3516	2.146e+03
2.701e-05	0.3513	2.146e+03
2.743e-05	0.3513	2.146e+03
2.744e-05	0.3513	2.146e+03
2.775e-05	0.3513	2.146e+03
2.795e-05	0.3514	2.146e+03
2.844e-05	0.3503	2.146e+03
2.844e-05	0.3502	2.146e+03
2.800e-05	0.3499	2.146e+03
2.803e-05	0.3495	2.146e+03
2.829e-05	0.3476	2.146e+03
2.842e-05	0.3461	2.146e+03
2.862e-05	0.3435	2.146e+03
2.879e-05	0.3422	2.146e+03
2.909e-05	0.3413	2.146e+03
2.942e-05	0.3412	2.146e+03
3.190e-05	0.3398	2.170e+03
3.192e-05	0.3398	2.171e+03
3.196e-05	0.3396	2.174e+03
3.204e-05	0.3393	2.174e+03
3.250e-05	0.3382	2.176e+03
3.261e-05	0.3379	2.177e+03
3.316e-05	0.3368	2.185e+03
3.446e-05	0.3364	2.191e+03
3.459e-05	0.3362	2.193e+03
3.600e-05	0.3351	2.213e+03
3.603e-05	0.3350	2.214e+03
3.604e-05	0.3350	2.214e+03
3.634e-05	0.3344	2.219e+03
3.641e-05	0.3343	2.220e+03
4.155e-05	0.3332	2.383e+03
4.171e-05	0.3331	2.386e+03
4.172e-05	0.3331	2.387e+03
4.274e-05	0.3323	2.418e+03
4.277e-05	0.3323	2.419e+03
4.277e-05	0.3323	2.419e+03
4.317e-05	0.3321	2.422e+03
4.321e-05	0.3320	2.423e+03
4.435e-05	0.3318	2.432e+03
4.437e-05	0.3318	2.433e+03
4.439e-05	0.3317	2.433e+03
4.647e-05	0.3302	2.435e+03
4.962e-05	0.3293	2.453e+03
3.782e-05	0.3314	2.490e+03
3.798e-05	0.3314	2.491e+03
3.895e-05	0.3352	2.490e+03
3.868e-05	0.3324	2.490e+03
3.846e-05	0.3317	2.490e+03
3.895e-05	0.3352	2.490e+03
3.798e-05	0.3314	2.491e+03
3.266e-07	0.6716	2.481e+02
1.326e-04	0.3136	2.475e+03
8.446e-05	0.3145	2.482e+03
5.547e-05	0.3164	2.485e+03
4.574e-05	0.3200	2.486e+03
3.688e-04	0.3173	2.485e+03
1.491e-04	0.3162	2.488e+03
1.311e-04	0.3162	2.488e+03
1.560e-04	0.3148	2.489e+03
1.679e-04	0.3128	2.489e+03
3.098e-04	0.3156	2.489e+03
3.100e-04	0.3157	2.489e+03
2.942e-04	0.3159	2.489e+03
2.635e-04	0.3176	2.489e+03
2.626e-04	0.3176	2.489e+03
2.627e-04	0.3177	2.489e+03
2.429e-04	0.3163	2.489e+03
2.414e-04	0.3159	2.489e+03
2.405e-04	0.3155	2.489e+03
2.388e-04	0.3148	2.489e+03
2.446e-04	0.3140	2.489e+03
8.108e-04	0.3149	2.488e+03
7.662e-04	0.3149	2.488e+03
6.178e-04	0.3147	2.489e+03
3.626e-04	0.3139	2.489e+03
3.612e-04	0.3139	2.489e+03
2.859e-04	0.3135	2.489e+03
2.852e-04	0.3134	2.489e+03
2.805e-04	0.3128	2.489e+03
2.865e-04	0.3126	2.489e+03
2.966e-04	0.3117	2.489e+03
2.986e-04	0.3115	2.489e+03
3.598e-04	0.3094	2.489e+03
2.171e-03	0.3097	2.489e+03
4.945e-04	0.3088	2.489e+03
4.729e-04	0.3086	2.489e+03
4.758e-04	0.3083	2.489e+03
6.685e-04	0.3071	2.489e+03
6.733e-04	0.3071	2.489e+03
6.804e-04	0.3071	2.489e+03
9.231e-01	0.3082	2.261e+03
3.854e-01	0.3079	2.375e+03
1.652e-01	0.3076	2.419e+03
8.057e-02	0.3074	2.453e+03
7.372e-02	0.3073	2.456e+03
5.378e-02	0.3070	2.468e+03
5.217e-02	0.3069	2.469e+03
5.215e-02	0.3069	2.469e+03
4.959e-02	0.3069	2.470e+03
3.465e-02	0.3068	2.476e+03
2.302e-02	0.3066	2.481e+03
1.798e-02	0.3065	2.483e+03
1.573e-02	0.3065	2.484e+03
1.337e-02	0.3064	2.484e+03
1.253e-02	0.3064	2.485e+03
1.091e-02	0.3063	2.485e+03
6.198e-03	0.3059	2.487e+03
6.170e-03	0.3059	2.487e+03
5.878e-03	0.3058	2.487e+03
5.713e-03	0.3058	2.487e+03
5.382e-03	0.3056	2.487e+03
4.188e-03	0.3050	2.488e+03
3.827e-03	0.3045	2.488e+03
3.807e-03	0.3044	2.488e+03
3.809e-03	0.3039	2.488e+03
3.792e-03	0.3036	2.488e+03
3.777e-03	0.3036	2.488e+03
3.731e-03	0.3036	2.488e+03
3.665e-03	0.3035	2.488e+03
3.466e-03	0.3034	2.488e+03
3.327e-03	0.3034	2.488e+03
3.311e-03	0.3033	2.488e+03
3.282e-03	0.3033	2.488e+03
3.281e-03	0.3033	2.488e+03
2.420e-03	0.3037	2.489e+03
2.419e-03	0.3037	2.489e+03
2.423e-03	0.3037	2.489e+03
2.424e-03	0.3037	2.489e+03
2.423e-03	0.3036	2.489e+03
2.519e-03	0.3036	2.489e+03
2.537e-03	0.3036	2.489e+03
2.856e-03	0.3035	2.489e+03
2.849e-03	0.3035	2.489e+03
3.490e-03	0.3034	2.489e+03
3.504e-03	0.3034	2.489e+03
3.554e-03	0.3034	2.489e+03
4.208e-03	0.3033	2.489e+03
4.238e-03	0.3032	2.489e+03
4.752e-03	0.3032	2.489e+03
5.574e-04	0.3041	2.489e+03
6.917e-04	0.3038	2.489e+03
8.654e-04	0.3035	2.489e+03
1.972e-03	0.3027	2.489e+03
1.209e+00	0.3030	2.425e+03
6.090e-01	0.3029	2.443e+03
5.724e-01	0.3029	2.446e+03
5.573e-01	0.3029	2.447e+03
5.571e-01	0.3029	2.447e+03
4.062e-01	0.3028	2.457e+03
4.062e-01	0.3028	2.457e+03
3.947e-01	0.3025	2.438e+03
9.694e-02	0.3027	2.442e+03
9.898e-02	0.3027	2.477e+03
9.875e-02	0.3027	2.465e+03
9.818e-02	0.3027	2.455e+03
9.766e-02	0.3027	2.448e+03
9.700e-02	0.3027	2.442e+03
9.694e-02	0.3027	2.442e+03
1.078e-06	0.4295	1.458e+02
9.823e-07	0.4277	1.726e+02
9.701e-07	0.4353	4.087e+02
2.420e-06	0.4078	8.300e+02
8.240e-06	0.4095	9.342e+02
8.377e-06	0.4022	1.608e+03
7.925e-06	0.4090	2.125e+03
7.956e-06	0.4088	2.130e+03
7.963e-06	0.4088	2.131e+03
8.042e-06	0.4091	2.138e+03
8.166e-06	0.4088	2.141e+03
8.656e-06	0.4082	2.146e+03
8.734e-06	0.4081	2.147e+03
8.786e-06	0.4076	2.150e+03
9.228e-06	0.4052	2.164e+03
9.417e-06	0.4044	2.168e+03
9.798e-06	0.4034	2.175e+03
9.858e-06	0.4033	2.176e+03
1.157e-05	0.4015	2.198e+03
1.505e-05	0.4035	2.610e+03
1.507e-05	0.4035	2.611e+03
1.510e-05	0.4034	2.613e+03
1.513e-05	0.4034	2.614e+03
1.368e-02	0.4031	2.245e+03
1.240e-02	0.4031	2.251e+03
3.485e-05	0.4028	2.666e+03
3.707e-05	0.4028	2.666e+03
5.345e-05	0.4033	2.660e+03
5.392e-05	0.4033	2.660e+03
5.403e-05	0.4033	2.660e+03
5.502e-05	0.4034	2.660e+03
7.596e-05	0.4034	2.687e+03
7.617e-05	0.4034	2.688e+03
2.765e-02	0.4010	2.189e+03
2.410e-02	0.4011	2.193e+03
1.249e-02	0.4011	2.353e+03
4.852e-03	0.4012	2.806e+03
1.397e-04	0.4032	2.654e+03
1.384e-04	0.4032	2.654e+03
