Compliance	Volume Fraction	Max Stress	Stress Integral
5.586e-10	0.1556	2.492e+00	0.19481051066387314
6.975e-10	0.1706	7.480e+00	0.4430122096128549
1.820e-10	0.1768	8.660e+00	0.45001103944748383
1.573e-10	0.1777	9.058e+00	0.45370201964034473
1.151e-10	0.1774	1.096e+01	0.468417063641048
1.031e-10	0.1741	1.374e+01	0.4998266840177666
1.055e-10	0.1593	1.956e+01	0.5992158629464791
1.029e-10	0.1608	1.933e+01	0.5970687890774667
1.010e-10	0.1619	1.916e+01	0.5954037115293618
1.044e-10	0.1657	1.682e+01	0.5534340314110026
1.037e-10	0.1697	1.531e+01	0.5275345072397293
1.034e-10	0.1718	1.453e+01	0.5138839005086281
1.032e-10	0.1730	1.414e+01	0.5069024370281809
1.031e-10	0.1736	1.394e+01	0.5033758383618036
1.031e-10	0.1738	1.384e+01	0.5016040142862869
1.031e-10	0.1740	1.379e+01	0.5007160289611373
1.031e-10	0.1741	1.377e+01	0.50027152537321
1.031e-10	0.1741	1.376e+01	0.5000491467822588
1.031e-10	0.1741	1.375e+01	0.49993792590491565
1.053e-10	0.1616	1.888e+01	0.5896129658511874
1.053e-10	0.1616	1.887e+01	0.5896102222712006
1.045e-10	0.1674	1.638e+01	0.5451739500179175
1.039e-10	0.1706	1.507e+01	0.5225535257077044
1.035e-10	0.1723	1.441e+01	0.5112309858872006
1.033e-10	0.1732	1.408e+01	0.5055789859720121
1.032e-10	0.1737	1.391e+01	0.5027568665497284
1.031e-10	0.1739	1.383e+01	0.5013469712872679
1.031e-10	0.1740	1.379e+01	0.500642338923186
1.031e-10	0.1741	1.377e+01	0.5002901045669842
1.031e-10	0.1741	1.376e+01	0.5001140082205658
1.031e-10	0.1741	1.375e+01	0.5000259653021774
1.072e-10	0.1595	1.940e+01	0.59796878893438
1.072e-10	0.1595	1.940e+01	0.5979617340237899
1.055e-10	0.1662	1.659e+01	0.5490544989431229
1.044e-10	0.1700	1.517e+01	0.5244652137675198
1.038e-10	0.1720	1.446e+01	0.5122153767604424
1.034e-10	0.1731	1.411e+01	0.5061117087752314
1.033e-10	0.1736	1.393e+01	0.5030664226682999
1.032e-10	0.1738	1.384e+01	0.5015455688292014
1.031e-10	0.1740	1.380e+01	0.5007856080917359
1.031e-10	0.1740	1.378e+01	0.5004057466185483
1.031e-10	0.1741	1.377e+01	0.5002158458988222
1.031e-10	0.1741	1.376e+01	0.5001209030799426
1.196e-10	0.1436	2.132e+01	0.6374682024741298
1.193e-10	0.1437	2.129e+01	0.6371150286078792
1.110e-10	0.1564	1.763e+01	0.5738158774489099
1.073e-10	0.1646	1.569e+01	0.5382478233741439
1.053e-10	0.1692	1.472e+01	0.5194886519809688
1.042e-10	0.1716	1.424e+01	0.5098770006195857
1.037e-10	0.1728	1.400e+01	0.5050163760138044
1.034e-10	0.1735	1.388e+01	0.5025729061908834
1.032e-10	0.1738	1.382e+01	0.5013479594365322
1.032e-10	0.1739	1.379e+01	0.5007346934321967
1.031e-10	0.1740	1.377e+01	0.5004278636060038
1.031e-10	0.1741	1.377e+01	0.5002743996560822
1.050e-10	0.1634	1.519e+01	0.5564858490562834
1.019e-10	0.1651	1.510e+01	0.5562614151231298
9.904e-11	0.1667	1.501e+01	0.5560326876198315
